date,temperature_2m,relative_humidity_2m,wind_speed_10m
2026-02-07 05:00:00+00:00,17.379,91.0,5.7599998
2026-02-07 06:00:00+00:00,17.428999,92.0,5.771239
2026-02-07 07:00:00+00:00,17.229,93.0,5.3999996
2026-02-07 08:00:00+00:00,17.079,94.0,5.4119864
2026-02-07 09:00:00+00:00,16.779,94.0,5.3999996
2026-02-07 10:00:00+00:00,16.479,95.0,5.7599998
2026-02-07 11:00:00+00:00,16.229,95.0,5.771239
2026-02-07 12:00:00+00:00,16.579,93.0,5.8048253
2026-02-07 13:00:00+00:00,17.678999,90.0,6.130579
2026-02-07 14:00:00+00:00,18.979,83.0,5.771239
2026-02-07 15:00:00+00:00,20.328999,76.0,5.4477882
2026-02-07 16:00:00+00:00,21.428999,70.0,4.802999
2026-02-07 17:00:00+00:00,22.578999,63.0,4.1046314
2026-02-07 18:00:00+00:00,23.479,58.0,2.5455842
2026-02-07 19:00:00+00:00,23.979,54.0,0.8049845
2026-02-07 20:00:00+00:00,23.779,54.0,1.5273507
2026-02-07 21:00:00+00:00,23.279,58.0,1.5273507
2026-02-07 22:00:00+00:00,22.029,69.0,2.5959969
2026-02-07 23:00:00+00:00,21.078999,74.0,5.8603754
2026-02-08 00:00:00+00:00,20.379,76.0,6.12
2026-02-08 01:00:00+00:00,19.678999,79.0,6.87779
2026-02-08 02:00:00+00:00,19.428999,80.0,6.849467
2026-02-08 03:00:00+00:00,18.979,83.0,7.2805495
2026-02-08 04:00:00+00:00,18.529,87.0,6.638072
2026-02-08 05:00:00+00:00,18.178999,88.0,7.072878
2026-02-08 06:00:00+00:00,17.879,88.0,6.9899354
2026-02-08 07:00:00+00:00,17.779,88.0,6.2145634
2026-02-08 08:00:00+00:00,17.579,89.0,5.506941
2026-02-08 09:00:00+00:00,17.129,91.0,5.8603754
2026-02-08 10:00:00+00:00,16.879,92.0,6.2145634
2026-02-08 11:00:00+00:00,16.829,91.0,6.2145634
2026-02-08 12:00:00+00:00,16.729,91.0,6.638072
2026-02-08 13:00:00+00:00,17.479,89.0,6.924738
2026-02-08 14:00:00+00:00,18.529,84.0,6.5693827
2026-02-08 15:00:00+00:00,19.879,77.0,6.162207
2026-02-08 16:00:00+00:00,20.779,72.0,4.73506
2026-02-08 17:00:00+00:00,21.678999,67.0,3.8939953
2026-02-08 18:00:00+00:00,22.479,64.0,3.396233
2026-02-08 19:00:00+00:00,22.379,63.0,3.8773184
2026-02-08 20:00:00+00:00,22.328999,63.0,4.452954
2026-02-08 21:00:00+00:00,21.979,65.0,5.4477882
2026-02-08 22:00:00+00:00,21.479,69.0,5.3999996
2026-02-08 23:00:00+00:00,20.578999,75.0,5.506941
2026-02-09 00:00:00+00:00,20.029,77.0,6.5693827
2026-02-09 01:00:00+00:00,19.629,78.0,7.208994
2026-02-09 02:00:00+00:00,19.129,81.0,7.9932976
2026-02-09 03:00:00+00:00,18.779,83.0,8.4042845
2026-02-09 04:00:00+00:00,18.379,84.0,7.8625183
2026-02-09 05:00:00+00:00,18.178999,84.0,6.725354
2026-02-09 06:00:00+00:00,17.928999,86.0,5.506941
2026-02-09 07:00:00+00:00,17.529,89.0,5.8048253
2026-02-09 08:00:00+00:00,17.329,91.0,5.4477882
2026-02-09 09:00:00+00:00,17.029,92.0,5.0911684
2026-02-09 10:00:00+00:00,16.779,94.0,5.8603754
2026-02-09 11:00:00+00:00,16.479,94.0,6.2145634
2026-02-09 12:00:00+00:00,16.678999,93.0,6.2145634
2026-02-09 13:00:00+00:00,17.879,88.0,5.937272
